protein_id,rows,cys,source_name_match
6EWT,1020,57,True
6EWU,1014,56,True
6FVC,777,24,True
6IWS,1153,65,True
6M3N,1215,64,True
6NMW,1020,58,True
6NS8,1304,67,False
6OBK,698,12,True
6SCW,1052,61,True
6SOW,935,49,True
6YSE,564,12,True
7BPM,1306,65,True
7JJK,1010,56,True
EA|run2_0290_0001,889,45,False
EA|run2_0325_0005,888,45,False
EA|run3_0321_0005,891,45,False
EA|run3_0525_0006,869,31,False
EA|run3_1140_0005,892,46,False
EA|run5_0050_0004,889,45,False
EA|run6_0680_0006,882,45,False
EA|run6_1429_0006,887,42,False
EA|run7_1025_0001,883,43,False
EA|run7_1572_0002,871,47,False
EEHEE_rd3_0019,739,21,True
EEHEE_rd3_0094,790,32,True
EEHEE_rd3_0130,765,33,True
EEHEE_rd3_0146,785,28,True
EEHEE_rd3_0602,814,41,True
EEHEE_rd3_0657,748,11,True
EEHEE_rd3_0809,689,12,True
EEHEE_rd3_1049,810,36,True
EEHEE_rd3_1367,773,38,True
EEHEE_rd3_1498,801,27,True
EEHEE_rd3_1587,760,33,True
EEHEE_rd3_1615,760,38,True
EEHEE_rd3_1702,813,39,True
EEHEE_rd3_1716,756,22,True
EEHEE_rd3_1810,738,37,True
EEHEE_rd3_1818,789,16,True
EEHEE_rd4_0003,813,40,True
EEHEE_rd4_0005,782,17,True
EEHEE_rd4_0256,810,36,True
EEHEE_rd4_0308,598,31,True
EEHEE_rd4_0363,799,39,True
EEHEE_rd4_0371,813,39,True
EEHEE_rd4_0469,790,27,True
EEHEE_rd4_0470,792,35,True
EEHEE_rd4_0481,805,41,True
EEHEE_rd4_0647,808,35,True
EEHEE_rd4_0763,807,33,True
EEHEE_rd4_0784,734,38,True
EEHEE_rd4_0794,806,38,True
EHEE_rd1_0101,732,13,True
EHEE_rd1_0407,726,13,True
EHEE_rd1_0459,654,13,True
EHEE_rd2_0152,697,19,True
EHEE_rd2_0191,643,19,True
EHEE_rd2_0196,735,17,True
EHEE_rd2_0372,730,25,True
EHEE_rd2_0487,730,27,True
EHEE_rd2_0601,657,19,True
EHEE_rd2_0751,629,26,True
EHEE_rd2_1106,648,13,True
EHEE_rd2_1257,664,15,True
EHEE_rd3_0035,705,16,True
EHEE_rd3_0053,711,22,True
EHEE_rd4_0044,640,14,True
EHEE_rd4_0086,665,9,True
EHEE_rd4_0098,714,14,True
EHEE_rd4_0172,676,21,True
EHEE_rd4_0195,745,25,True
EHEE_rd4_0325,722,4,True
EHEE_rd4_0394,661,21,True
EHEE_rd4_0463,732,24,True
EHEE_rd4_0502,702,10,True
EHEE_rd4_0625,663,10,True
EHEE_rd4_0726,694,23,True
EHEE_rd4_0840,690,28,True
EHEE_rd4_0864,570,21,True
EHEE_rd4_0877,689,10,True
GG|run1_1390_0006,887,45,False
GG|run2_0085_0001,885,45,False
GG|run3_1315_0003,881,42,False
GG|run3_1365_0003,889,46,False
GG|run4_0284_0002,886,45,False
GG|run4_0467_0002,889,47,False
GG|run4_1050_0002,885,46,False
GG|run5_0637_0006,885,45,False
GG|run5_1147_0004,889,45,False
GG|run5_1309_0004,879,44,False
GG|run6_0775_0006,887,44,False
GG|run6_0851_0003,891,46,False
GG|run6_1310_0004,889,46,False
HEEH_KT_rd6_0007,796,23,True
HEEH_KT_rd6_0280,798,39,True
HEEH_KT_rd6_0746,802,28,True
HEEH_KT_rd6_0790,794,20,True
HEEH_KT_rd6_0793,791,25,True
HEEH_KT_rd6_0872,786,13,True
HEEH_KT_rd6_1415,814,40,True
HEEH_KT_rd6_3546,798,25,True
HEEH_KT_rd6_3632,793,19,True
HEEH_rd3_0055,794,21,True
HEEH_rd3_0223,765,35,True
HEEH_rd4_0094,801,35,True
HEEH_rd4_0097,812,38,True
HEEH_rd4_0349,806,33,True
HHH_rd1_0142,799,25,True
HHH_rd1_0244,767,31,True
HHH_rd1_0335,810,36,True
HHH_rd1_0473,802,40,True
HHH_rd1_0493,808,36,True
HHH_rd1_0516,792,22,True
HHH_rd1_0578,789,26,True
HHH_rd1_0598,782,24,True
HHH_rd1_0606,797,24,True
HHH_rd1_0949,787,30,True
HHH_rd2_0155,790,18,True
HHH_rd2_0181,810,36,True
HHH_rd4_0124,803,31,True
HHH_rd4_0395,774,40,True
HHH_rd4_0557,796,27,True
HHH_rd4_0613,770,36,True
HHH_rd4_0676,805,31,True
HHH_rd4_0816,732,14,True
HHH_rd4_0870,805,36,True
XX|run10_1081_0004,890,46,False
XX|run1_0254_0003,880,45,False
XX|run1_0367_0004,889,44,False
XX|run1_0455_0002,883,40,False
XX|run1_0461_0006,890,44,False
XX|run3_1384_0005,889,44,False
XX|run5_0690_0002,889,46,False
XX|run5_1034_0004,878,39,False
XX|run6_1020_0004,889,44,False
XX|run6_1081_0004,882,43,False
XX|run7_0974_0003,858,38,False
XX|run8_0733_0006,887,46,False
XX|run8_1063_0003,878,46,False
XX|run8_1098_0003,885,45,False
chitinase,4,0,False
r10_437_TrROS_Hall,876,41,True
r10_490_TrROS_Hall,883,44,True
r10_572_TrROS_Hall,883,38,True
r11_1081_TrROS_Hall,893,44,True
r11_233_TrROS_Hall,926,49,True
r11_569_TrROS_Hall,914,49,True
r11_797_TrROS_Hall,926,49,True
r11_829_TrROS_Hall,923,46,True
r11_951_TrROS_Hall,921,49,True
r12_757_TrROS_Hall,977,28,True
r15_550_TrROS_Hall,1123,60,True
r16_88_TrROS_Hall,1185,63,True
r18_3_TrROS_Hall,985,52,True
r3_162_TrROS_Hall,957,51,True
r4_412_TrROS_Hall,865,44,True
r4_43_TrROS_Hall,861,41,True
r6_560_TrROS_Hall,1050,56,True
r6_831_TrROS_Hall,1054,54,True
r7_587_TrROS_Hall,892,46,True
v2K43S_2KVV,1002,60,True
v2R14S|R16S_2L3X,1236,65,False
v2R31S|R32S_2N5D,1304,69,False
v2_2HDZ,886,48,True
v2_2LC2,1060,55,True
v2_2LDM,965,48,True
v2_2LXE,997,53,True
v2_2M5A,1044,54,True
v2_4UZX,1094,57,True
v2_6IVS,904,48,True
